run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo2 AdamW top half,40,train,99.362,99.996,0.03375352944254875,57.04385601679484,9.549150281252626e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,40,val,69.87,90.71,1.5751160329818725,57.04385601679484,9.549150281252626e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,41,train,99.474,100.0,0.03032130594134331,58.4715363462766,7.783603724899252e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,41,val,68.87,90.46,1.6267209455490113,58.4715363462766,7.783603724899252e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,42,train,99.538,100.0,0.02649654021501541,59.87858234643936,6.184665997806817e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,42,val,70.07,90.78,1.5776620178222656,59.87858234643936,6.184665997806817e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,43,train,99.68,100.0,0.023396445618867875,61.27151399850845,4.7586473766990294e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,43,val,70.08,91.15,1.5583631971359253,61.27151399850845,4.7586473766990294e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,44,train,99.724,100.0,0.02124431408047676,62.64511866569519,3.5111757055874305e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,44,val,70.16,91.11,1.5644768964767457,62.64511866569519,3.5111757055874305e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,45,train,99.748,100.0,0.02013947337090969,63.99757910172145,2.4471741852423218e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,45,val,70.78,91.25,1.532044407272339,63.99757910172145,2.4471741852423218e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,46,train,99.772,100.0,0.01896497598409653,65.35837761561076,1.5708419435684507e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,46,val,70.73,91.33,1.5382701314926148,65.35837761561076,1.5708419435684507e-05,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,47,train,99.8,100.0,0.01839892431676388,66.70863941510518,8.856374635655634e-06,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,47,val,70.78,91.34,1.5321901876449584,66.70863941510518,8.856374635655634e-06,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,48,train,99.79,99.998,0.017668066493868827,68.08253439664841,3.942649342761115e-06,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,48,val,70.83,91.42,1.52971087474823,68.08253439664841,3.942649342761115e-06,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,49,train,99.824,100.0,0.017148659298419952,69.44954425096512,9.866357858642198e-07,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,49,val,71.07,91.37,1.5261285303115846,69.44954425096512,9.866357858642198e-07,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,50,train,99.828,100.0,0.016931005489826203,70.8074726819992,0.0,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,50,val,70.91,91.33,1.5284224193572997,70.8074726819992,0.0,shampoo2-adamw,4,mps,resnet34,256,1
